NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus,Latitude,Longitude
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Bunkyo-ku,Tokyo,1138519,Japan,RECRUITING,,
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Shinjuku-ku,Tokyo,1608582,Japan,RECRUITING,,
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Fukuoka,,8128582,Japan,RECRUITING,33.6,130.41667
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Kyoto,,6068507,Japan,RECRUITING,35.02107,135.75385
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Amsterdam,North Holland,1105 AZ,Netherlands,RECRUITING,52.37403,4.88969
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Riyadh,,11211,Saudi Arabia,RECRUITING,24.68773,46.72185
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Singapore,,119074,Singapore,RECRUITING,1.28967,103.85007
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Singapore,,169608,Singapore,RECRUITING,1.28967,103.85007
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Singapore,,S308433,Singapore,RECRUITING,1.28967,103.85007
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Santiago Compostela,A Coruna,15706,Spain,RECRUITING,,
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Santander,Cantabria,39008,Spain,RECRUITING,43.46589,-3.80493
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Pamplona,Navarre,31008,Spain,RECRUITING,42.81687,-1.64323
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Barcelona,,08035,Spain,RECRUITING,41.38879,2.15899
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Córdoba,,14004,Spain,RECRUITING,37.89155,-4.77275
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Madrid,,28041,Spain,RECRUITING,40.4165,-3.70256
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Málaga,,29010,Spain,RECRUITING,36.72016,-4.42034
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Salamanca,,37007,Spain,RECRUITING,40.96882,-5.66388
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Geneva,,1211,Switzerland,RECRUITING,46.20222,6.14569
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Kaohsiung City,,83301,Taiwan,RECRUITING,22.61626,120.31333
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Taichung,,407219,Taiwan,RECRUITING,24.1469,120.6839
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Taipei,,10002,Taiwan,RECRUITING,25.05306,121.52639
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,Sheffield,South Yorkshire,S10 2JF,United Kingdom,RECRUITING,53.38297,-1.4659
NCT06665256,Phase 2 Study of Rapcabtagene Autoleucel in Myositis,RECRUITING,Novartis Investigative Site,London,,NW1 2BU,United Kingdom,RECRUITING,51.50853,-0.12574
NCT06711146,Safety and Efficacy of Metabolically Armed CD19 CAR-T Cells (Meta10-19) in the Treatment of Moderate to Severe Active SLE Clinical Research,RECRUITING,The first affiliated hospital of medical college of zhejiang university,Hangzhou,Zhejiang,310000,China,RECRUITING,30.29365,120.16142
NCT03579927,"CAR.CD19-CD28-zeta-2A-iCasp9-IL15-Transduced Cord Blood NK Cells, High-Dose Chemotherapy, and Stem Cell Transplant in Treating Participants With B-cell Lymphoma",WITHDRAWN,M D Anderson Cancer Center,Houston,Texas,77030,United States,,29.76328,-95.36327
NCT06468683,F01 in the Treatment of Moderate-to-severe Refractory Systemic Lupus Erythematosus,NOT_YET_RECRUITING,"Shanghai jiaotong University School of Medicine,Renji Hospital",Shanghai,Shanghai Municipality,200000,China,,31.22222,121.45806
NCT06400303,"KYSA-5: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Systemic Sclerosis",ACTIVE_NOT_RECRUITING,Stanford University Medical Center,Palo Alto,California,94305,United States,,37.44188,-122.14302
NCT06400303,"KYSA-5: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CAR T) Therapy, in Subjects With Systemic Sclerosis",ACTIVE_NOT_RECRUITING,Northwell Health,Great Neck,New York,11021,United States,,40.80066,-73.72846
NCT06939166,Universal Chimeric Antigen Receptor T-Cell （UCAR T-cell） Therapy Targeting CD19/B Cell Maturation Antigen （CD19/BCMA） in Patients With r/r Neurological Autoimmune Diseases,RECRUITING,Tianjin Huanhu Hospital,Tianjin,,,China,RECRUITING,39.14222,117.17667
NCT07528105,Allogeneic Anti-CD7 CAR-T for Type 1 Diabetes,RECRUITING,"Zhongshan Hospital, Fudan University",Shanghai,,201508,China,RECRUITING,31.22222,121.45806
NCT07413341,A Clinical Study of TI-0032-III Injection in Patients With Relapsed and Refractory Autoimmune Diseases,RECRUITING,Shanghai Changzheng Hospital,Shanghai,Shanghai Municipality,200003,China,RECRUITING,31.22222,121.45806
NCT06983964,Safety and Efficacy of CD19 CAR-T Therapy for Recurrent/Refractory Autoimmune Diseases,RECRUITING,Beijing Gobroad Brond Hospital,Beijing,Beijing Municipality,100070,China,RECRUITING,39.9075,116.39723
NCT06688435,A Study to Evaluate the Safety and Preliminary Efficacy of SYS6020 CAR T-cells in Patients With Refractory Generalized Myasthenia Gravis,RECRUITING,"Qilu Hospital, Shandong University",Jinan,,,China,RECRUITING,36.66833,116.99722
NCT07322718,"Safety and Efficacy Study of RXIM002 in Severe, Relapsed or Refractory Autoimmune Diseases",RECRUITING,Ruijin Hospital,Shanghai,Huangpu District,"No. 197, Ruijin 2nd Road",China,RECRUITING,31.22222,121.45806
NCT07523282,Safety and Preliminary Efficacy of HN2302 in Patients With Autoimmune Diseases,NOT_YET_RECRUITING,The First Affiliated Hospital of University of Science and Technology of China,Hefei,Anhui,230036,China,,31.86389,117.28083
NCT06518668,"A Study of NKX019, a CD19 CAR NK Cell Therapy, in Subjects With Systemic Lupus Erythematosus",SUSPENDED,Columbia University Irving Medical Center,New York,New York,10032,United States,,40.71427,-74.00597
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,IRCCS Istituto Tumori Giovanni Paolo II,Bari,Bari,,Italy,,41.12066,16.86982
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,IRCCS Azienda Ospedaliera Universitaria,Bologna,Bologhna,,Italy,,44.49381,11.33875
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,Ospedale Policlinico San Martino IRCCS,Genova,Genova,,Italy,,45.21604,11.87211
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,Foindazione IRCCS Istituto Neurologico Carlo Besta,Milan,Milano,,Italy,,42.78235,12.59836
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,Fondazione IRCCS Istituto Nazionale dei Tumori,Milan,Milano,,Italy,,42.78235,12.59836
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,IRCCS Istituto Clinico Humanitas,Milan,Milano,,Italy,,42.78235,12.59836
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,IRCCS Ospedale San Raffaele,Milan,Milano,,Italy,,42.78235,12.59836
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,Fondazione IRCCS Policlinico San Matteo,Pavia,Pavia,,Italy,,45.19205,9.15917
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,Azienda USL IRCCS di Reggio Emilia,Reggio Emilia,Reggio Emilia,42123,Italy,,44.69825,10.63125
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,IRCCS Istituto Nazionale Tumori Regina Elena,Roma,Roma,,Italy,,44.99364,11.10642
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,IRCCS Istituto per le Malattie Infettive Lazzaro Spallanzani,Roma,Roma,,Italy,,44.99364,11.10642
NCT04848493,"National Project on Vaccines, COVID-19 and Frail Patients",COMPLETED,Istituto Dermatologico San Gallicano,Roma,Roma,,Italy,,44.99364,11.10642
NCT06581198,"A Study of Rapcabtagene Autoleucel in Active, Refractory Systemic Lupus Erythematosus (SLE) or Lupus Nephritis (LN) Patients (AUTOGRAPH - SLE/LN)",RECRUITING,University Of Alabama,Birmingham,Alabama,35294,United States,RECRUITING,33.52066,-86.80249
NCT06581198,"A Study of Rapcabtagene Autoleucel in Active, Refractory Systemic Lupus Erythematosus (SLE) or Lupus Nephritis (LN) Patients (AUTOGRAPH - SLE/LN)",RECRUITING,Loma Linda University,San Bernardino,California,92408,United States,RECRUITING,34.10834,-117.28977
NCT06581198,"A Study of Rapcabtagene Autoleucel in Active, Refractory Systemic Lupus Erythematosus (SLE) or Lupus Nephritis (LN) Patients (AUTOGRAPH - SLE/LN)",RECRUITING,UCSF,San Francisco,California,94115,United States,RECRUITING,37.77493,-122.41942
NCT06581198,"A Study of Rapcabtagene Autoleucel in Active, Refractory Systemic Lupus Erythematosus (SLE) or Lupus Nephritis (LN) Patients (AUTOGRAPH - SLE/LN)",RECRUITING,Sutter Health Network,San Pablo,California,94806,United States,RECRUITING,37.96215,-122.34553
NCT06581198,"A Study of Rapcabtagene Autoleucel in Active, Refractory Systemic Lupus Erythematosus (SLE) or Lupus Nephritis (LN) Patients (AUTOGRAPH - SLE/LN)",RECRUITING,Ann and Robert H Lurie Childs Hosp,Chicago,Illinois,60611,United States,RECRUITING,41.85003,-87.65005
